fips,year,cover_crop_ratio
19001,2017,0.628674122932798
19001,2022,0.5635962521170886
19003,2017,0.06262371267104622
19003,2022,0.07372120987882712
19005,2017,0.15671737256319698
19005,2022,0.2176412632196799
19007,2017,0.09753145199686893
19007,2022,0.11187676387582314
19009,2017,0.024878057308694208
19009,2022,0.03144737517758417
19011,2017,0.0
19011,2022,0.15323851191489127
19013,2017,0.15760167955455293
19013,2022,0.16114316685674282
19015,2017,0.12997823909364098
19015,2022,0.17461099861451562
19017,2017,0.1264193792581378
19017,2022,0.16523503900619835
19019,2017,0.04081756674634364
19019,2022,0.045885292460401024
19021,2017,0.007290313555426767
19021,2022,0.020475067816694673
19023,2017,0.14189083881425144
19023,2022,0.12390475800172124
19025,2017,0.07904404025093681
19025,2022,0.1841386717393279
19027,2017,1.974028070779696
19027,2022,0.30816377884822777
19029,2017,1.0
19029,2022,1.0
19031,2017,0.0837292109948326
19031,2022,0.095862710157279
19033,2017,0.03551787594804753
19033,2022,0.06724743931367665
19035,2017,0.035101385302617215
19035,2022,0.022353074397010533
19037,2017,0.15226077480692998
19037,2022,0.19301338658844822
19039,2017,0.01646655231560892
19039,2022,0.028304121269540503
19041,2017,0.2998569491742551
19041,2022,0.02773589605758263
19043,2017,0.21517678034102308
19043,2022,0.023339835304743876
19045,2017,0.10449174750586179
19045,2022,0.10803579589360941
19047,2017,0.06185196803592656
19047,2022,0.06877155272395503
19049,2017,0.043212800673719666
19049,2022,0.06941924029866679
19051,2017,0.4570419142444195
19051,2022,0.4338647830474268
19053,2017,0.20588873616436373
19053,2022,0.25217898565644087
19055,2017,0.027361306728324142
19055,2022,0.05484995228885907
19057,2017,0.11540021085070148
19057,2022,0.22785856615932507
19059,2017,0.08167375251734169
19059,2022,0.04388909887275719
19061,2017,0.1174056529098725
19061,2022,0.16963306274681877
19063,2017,0.6067285884004752
19063,2022,0.04274082754161952
19065,2017,0.11615643189098948
19065,2022,0.017011948284797802
19067,2017,0.14999802008949195
19067,2022,0.13799617915516876
19069,2017,0.06754680171572885
19069,2022,0.04416520074503311
19071,2017,0.07324476508886152
19071,2022,0.09033113120839278
19073,2017,0.03367638674110201
19073,2022,0.05305668511656068
19075,2017,0.045004585850279895
19075,2022,0.11559058843771507
19077,2017,0.039821461053043974
19077,2022,0.05461828884000238
19079,2017,0.024656062653775512
19079,2022,0.04575288589232812
19081,2017,0.021757827581066255
19081,2022,0.046106333240397195
19083,2017,0.022689765687908092
19083,2022,0.05377592115466393
19085,2017,0.03287892791127542
19085,2022,0.05956642690103849
19087,2017,0.053154490453198436
19087,2022,0.0698468508063153
19089,2017,0.27016796332578796
19089,2022,0.4901450195829364
19091,2017,0.06633781564547113
19091,2022,0.26739868717844745
19093,2017,0.13012852357114651
19093,2022,0.3652768166089965
19097,2017,0.06138685254176181
19097,2022,0.026492312330419054
19099,2017,0.0874088777850029
19099,2022,0.03678477678843957
19101,2017,0.1159506146244261
19101,2022,0.11355174981384959
19103,2017,0.13038804523914063
19103,2022,0.12668743509865005
19105,2017,0.10913629998542652
19105,2022,0.08675112999066328
19107,2017,0.10894026121881029
19107,2022,0.13302486986697512
19109,2017,0.03974093634851306
19109,2022,0.03399522661465211
19111,2017,0.6191006793429423
19111,2022,0.40096024692063675
19113,2017,0.08854707533493045
19113,2022,0.07446526192877236
19115,2017,0.25082642822816703
19115,2022,0.21023135938623833
19117,2017,2.5137186223000585
19117,2022,1.9713362371785865
19119,2017,0.11730093437576616
19119,2022,0.10572083069596407
19121,2017,0.19715665850140793
19121,2022,0.14748394285654218
19123,2017,0.11120365169446113
19123,2022,0.09603800449044411
19125,2017,0.1782912034449206
19125,2022,0.16937693914261223
19127,2017,0.0879834903250853
19127,2022,0.06791426247918522
19129,2017,0.09647840382687213
19129,2022,0.0830836284391174
19131,2017,3.8241563055062167
19131,2022,2.5681859784001464
19133,2017,0.14698628617267304
19133,2022,0.12320202321782961
19135,2017,1.196775986659255
19135,2022,0.8049340218014917
19137,2017,0.4918894219785241
19137,2022,0.526533063123921
19139,2017,0.18206418333262864
19139,2022,0.15897116310690612
19141,2017,0.09053160511736941
19141,2022,0.0815654994796784
19143,2017,0.13811020591442683
19143,2022,0.11611835298986137
19145,2017,0.1169917948160626
19145,2022,0.10282154635397582
19147,2017,0.0722707551840756
19147,2022,0.05820610687022901
19149,2017,0.1993910838938217
19149,2022,0.14427773721501805
19151,2017,0.10869414311227227
19151,2022,0.07349128109498342
19153,2017,0.06697801749112417
19153,2022,0.05992806923122923
19155,2017,0.049909881716130304
19155,2022,0.03798832461470145
19157,2017,0.09150361520031025
19157,2022,0.0815839972088155
19159,2017,0.4063797659494149
19159,2022,0.35345392250717994
19161,2017,0.08202295347397495
19161,2022,0.07478438855900131
19163,2017,0.1409423432564686
19163,2022,0.13851454748294484
19165,2017,0.06508611894163259
19165,2022,0.05861341465962024
19167,2017,0.09965631762268998
19167,2022,0.07775308546189101
19169,2017,0.08223638664088424
19169,2022,0.08123443923339703
19171,2017,0.07907265006312407
19171,2022,0.07567707518622602
19173,2017,0.1586631907661413
19173,2022,0.11552459529338142
19175,2017,0.19899255973011692
19175,2022,0.17929483329286527
19177,2017,1.0442585182490602
19177,2022,0.7449293830306892
19179,2017,0.27498124111946615
19179,2022,0.33324624118191964
19181,2017,0.28300088725313005
19181,2022,0.22877362336328208
19183,2017,0.10959950112628378
19183,2022,0.1042549080803127
19185,2017,1.2653540993241257
19185,2022,0.6813656451847895
19187,2017,0.054644323322821556
19187,2022,0.058412576814828386
19189,2017,0.09452932911837021
19189,2022,0.10595156284219032
19191,2017,0.16667956955949523
19191,2022,0.13340940426948128
19193,2017,0.07739558291581478
19193,2022,0.06034460511488271
19195,2017,0.10202945253355765
19195,2022,0.14144000645200314
19197,2017,0.06600498179727918
19197,2022,0.054303231100308096
